96,1,20,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,7,1,32,1,214,2.419,0.851,SUCCESS,-1
88,240,7,408,10,0,7,1,64,1,214,2.443,0.923,SUCCESS,-1
88,240,7,408,10,0,7,1,128,1,214,2.438,0.853,SUCCESS,-1
88,240,7,408,10,0,7,1,256,1,214,2.583,0.852,SUCCESS,-1
88,240,7,408,10,0,7,1,512,1,214,2.514,0.948,SUCCESS,-1
88,240,7,408,10,0,7,1,1024,1,214,9.253,7.378,SUCCESS,-1
88,240,7,408,10,0,7,2,8,1,214,2.387,0.863,SUCCESS,-1
88,240,7,408,10,0,7,2,16,1,214,2.122,0.488,SUCCESS,-1
88,240,7,408,10,0,7,2,32,1,214,2.032,0.521,SUCCESS,-1
88,240,7,408,10,0,7,2,64,1,214,2.35,0.492,SUCCESS,-1
88,240,7,408,10,0,7,2,128,1,214,2.044,0.49,SUCCESS,-1
88,240,7,408,10,0,7,2,256,1,214,2.206,0.664,SUCCESS,-1
88,240,7,408,10,0,7,2,512,1,214,5.558,3.963,SUCCESS,-1
88,240,7,408,10,0,7,4,4,1,214,2.176,0.649,SUCCESS,-1
88,240,7,408,10,0,7,4,8,1,214,2.391,0.506,SUCCESS,-1
88,240,7,408,10,0,7,4,16,1,214,1.899,0.329,SUCCESS,-1
88,240,7,408,10,0,7,4,32,1,214,1.849,0.325,SUCCESS,-1
88,240,7,408,10,0,7,4,64,1,214,2.179,0.416,SUCCESS,-1
88,240,7,408,10,0,7,4,128,1,214,2.029,0.504,SUCCESS,-1
88,240,7,408,10,0,7,4,256,1,214,3.734,2.21,SUCCESS,-1
88,240,7,408,10,0,7,8,2,1,214,2.133,0.533,SUCCESS,-1
88,240,7,408,10,0,7,8,4,1,214,2.031,0.393,SUCCESS,-1
88,240,7,408,10,0,7,8,8,1,214,1.98,0.306,SUCCESS,-1
88,240,7,408,10,0,7,8,16,1,214,1.829,0.31,SUCCESS,-1
88,240,7,408,10,0,7,8,32,1,214,1.802,0.297,SUCCESS,-1
88,240,7,408,10,0,7,8,64,1,214,2.069,0.484,SUCCESS,-1
88,240,7,408,10,0,7,8,128,1,214,2.739,1.244,SUCCESS,-1
88,240,7,408,10,0,7,16,1,1,214,2.852,0.645,SUCCESS,-1
88,240,7,408,10,0,7,16,2,1,214,1.927,0.383,SUCCESS,-1
88,240,7,408,10,0,7,16,4,1,214,1.839,0.291,SUCCESS,-1
88,240,7,408,10,0,7,16,8,1,214,1.823,0.292,SUCCESS,-1
88,240,7,408,10,0,7,16,16,1,214,1.814,0.296,SUCCESS,-1
88,240,7,408,10,0,7,16,32,1,214,1.903,0.297,SUCCESS,-1
88,240,7,408,10,0,7,16,64,1,214,2.586,0.746,SUCCESS,-1
88,240,7,408,10,0,7,32,1,1,214,2.181,0.401,SUCCESS,-1
88,240,7,408,10,0,7,32,2,1,214,1.901,0.344,SUCCESS,-1
88,240,7,408,10,0,7,32,4,1,214,1.795,0.278,SUCCESS,-1
88,240,7,408,10,0,7,32,8,1,214,1.897,0.321,SUCCESS,-1
88,240,7,408,10,0,7,32,16,1,214,1.834,0.327,SUCCESS,-1
88,240,7,408,10,0,7,32,32,1,214,2.107,0.509,SUCCESS,-1
88,240,7,408,10,0,7,64,1,1,214,2.004,0.329,SUCCESS,-1
88,240,7,408,10,0,7,64,2,1,214,1.841,0.282,SUCCESS,-1
88,240,7,408,10,0,7,64,4,1,214,1.816,0.287,SUCCESS,-1
88,240,7,408,10,0,7,64,8,1,214,1.814,0.299,SUCCESS,-1
88,240,7,408,10,0,7,64,16,1,214,1.963,0.309,SUCCESS,-1
88,240,7,408,10,0,8,32,1,1,214,2.969,0.846,SUCCESS,-2
88,240,7,408,10,0,8,64,1,1,214,2.444,0.894,SUCCESS,-2
88,240,7,408,10,0,8,128,1,1,214,2.522,0.944,SUCCESS,-2
88,240,7,408,10,0,8,256,1,1,214,2.938,1.418,SUCCESS,-2
88,240,7,408,10,0,8,512,1,1,214,5.521,3.707,SUCCESS,-2
88,240,7,408,10,0,8,1024,1,1,214,8.685,6.934,SUCCESS,-2
88,240,7,408,10,0,9,32,1,1,214,3.57,0.896,SUCCESS,-1
88,240,7,408,10,0,9,64,1,1,214,2.869,0.998,SUCCESS,-1
88,240,7,408,10,0,9,128,1,1,214,3.047,0.903,SUCCESS,-1
88,240,7,408,10,0,9,256,1,1,214,2.844,1.268,SUCCESS,-1
88,240,7,408,10,0,9,512,1,1,214,4.179,2.166,SUCCESS,-1
88,240,7,408,10,0,9,1024,1,1,214,9.989,8.138,SUCCESS,-1
88,240,7,408,10,0,10,1,16,1,386,2.656,0.797,SUCCESS,-1
88,240,7,408,10,0,10,1,32,1,386,2.302,0.799,SUCCESS,-1
88,240,7,408,10,0,10,1,64,1,386,2.465,0.872,SUCCESS,-1
88,240,7,408,10,0,10,1,128,1,386,2.382,0.804,SUCCESS,-1
88,240,7,408,10,0,10,1,256,1,386,2.628,0.876,SUCCESS,-1
88,240,7,408,10,0,10,1,512,1,386,2.553,0.985,SUCCESS,-1
88,240,7,408,10,0,10,1,1024,1,386,9.986,8.306,SUCCESS,-1
88,240,7,408,10,0,10,2,8,1,386,2.418,0.888,SUCCESS,-1
88,240,7,408,10,0,10,2,16,1,386,2.22,0.497,SUCCESS,-1
88,240,7,408,10,0,10,2,32,1,386,2.117,0.542,SUCCESS,-1
88,240,7,408,10,0,10,2,64,1,386,2.004,0.509,SUCCESS,-1
88,240,7,408,10,0,10,2,128,1,386,2.024,0.511,SUCCESS,-1
88,240,7,408,10,0,10,2,256,1,386,2.327,0.705,SUCCESS,-1
88,240,7,408,10,0,10,2,512,1,386,6.562,4.962,SUCCESS,-1
88,240,7,408,10,0,10,4,4,1,386,2.382,0.779,SUCCESS,-1
88,240,7,408,10,0,10,4,8,1,386,2.124,0.605,SUCCESS,-1
88,240,7,408,10,0,10,4,16,1,386,1.954,0.43,SUCCESS,-1
88,240,7,408,10,0,10,4,32,1,386,1.92,0.412,SUCCESS,-1
88,240,7,408,10,0,10,4,64,1,386,2.039,0.56,SUCCESS,-1
88,240,7,408,10,0,10,4,128,1,386,2.143,0.627,SUCCESS,-1
88,240,7,408,10,0,10,4,256,1,386,4.752,3.214,SUCCESS,-1
88,240,7,408,10,0,10,8,2,1,386,2.578,0.882,SUCCESS,-1
88,240,7,408,10,0,10,8,4,1,386,2.168,0.641,SUCCESS,-1
88,240,7,408,10,0,10,8,8,1,386,2.225,0.7,SUCCESS,-1
88,240,7,408,10,0,10,8,16,1,386,2.316,0.625,SUCCESS,-1
88,240,7,408,10,0,10,8,32,1,386,2.108,0.578,SUCCESS,-1
88,240,7,408,10,0,10,8,64,1,386,2.221,0.712,SUCCESS,-1
88,240,7,408,10,0,10,8,128,1,386,3.801,2.293,SUCCESS,-1
88,240,7,408,10,0,10,16,1,1,386,3.941,1.337,SUCCESS,-1
88,240,7,408,10,0,10,16,2,1,386,2.388,0.855,SUCCESS,-1
88,240,7,408,10,0,10,16,4,1,386,3.21,0.98,SUCCESS,-1
88,240,7,408,10,0,10,16,8,1,386,2.406,0.908,SUCCESS,-1
88,240,7,408,10,0,10,16,16,1,386,2.515,0.956,SUCCESS,-1
88,240,7,408,10,0,10,16,32,1,386,2.535,0.809,SUCCESS,-1
88,240,7,408,10,0,10,16,64,1,386,3.573,1.925,SUCCESS,-1
88,240,7,408,10,0,10,32,1,1,386,3.185,1.295,SUCCESS,-1
88,240,7,408,10,0,10,32,2,1,386,2.846,1.307,SUCCESS,-1
